sentence,sentiment,pred_sentiment,net_score
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,neutral,negative,-1
The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,neutral,positive,1
Finnish Bank of +àland reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 .,negative,neutral,0
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",neutral,negative,-1
"RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs",positive,neutral,0
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,neutral,0
"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",neutral,negative,-1
Breakingviews: IAG can pay more for Aer Lingus,positive,neutral,0
"The pine oil project is related to the upgrade of the chemical recovery plant of UPM at its pulp mill in Kymi , southern Finland .",neutral,positive,2
AB InBev to Sell SABMiller Stake in China's Snow Beer,neutral,negative,-1
The personnel s expertise and high level of technology play a major role in Exel Composites operations .,neutral,positive,1
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",negative,neutral,0
Metsa-Botnia will sell 82.1 % of its stake in the Uruguayan companies and Metsaliitto -- 5.5 % .,neutral,negative,-1
"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",negative,neutral,0
Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse .,neutral,negative,-1
"`` Adjustment to the fall in price level , in contrast , has been less effective .",neutral,negative,-1
"Okmetic has a global customer base and sales network , production plants in Finland and the US and contract manufacturers in Japan and China .",neutral,positive,1
Asian traffic declined by 3.4 per cent .,neutral,negative,-1
"The company targets sales of Ls 27.1 mn ( Ls 23.498 mn ) and a profit of Ls 300,000 ( Ls 371,500 ) in 2007 .",neutral,positive,1
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",positive,neutral,0
Ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions .,neutral,negative,-1
"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .",positive,neutral,0
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,negative,neutral,0
$JD down 20% in after-hour market. anyone care to explain why?,negative,neutral,0
$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,positive,neutral,0
"GeoSentric is acquiring extra financing by issuing a maximum of 220,000 new shares and a convertible bond with subscription rights for 880,000 shares , which have been fully subscribed .",neutral,positive,1
$IWM same conditions that sent markets to tumble all hitting this week,negative,neutral,0
$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,negative,neutral,0
Shire proposes $30 bln all-share tie-up with Baxalta,positive,neutral,0
This transaction will also rationalize our pulp and paper industry related solutions .,positive,neutral,0
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",neutral,negative,-1
"Through its partnership with Finnish Paulig 's Danish subsidiary Oscar , Puljonki acquired a sales organization in the European market .",neutral,positive,1
Finnish bank Alandsbanken said Monday it will buy the Swedish operations of Iceland 's troubled Kaupthing Bank for 414 million kronor $ 49.5 million in cash .,neutral,positive,1
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",positive,neutral,0
The office space will rise above the remodeled Cannon Street underground station .,neutral,positive,1
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",negative,neutral,0
"In 2006 , Kone received an order from Aker Yards to supply 43 customised elevators for the very first Genesis cruise ship which is scheduled to be completed in 2009 .",positive,neutral,0
"Previously , Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 .",neutral,positive,1
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,positive,neutral,0
"So far as is known , he did not sell shares that he owns personally .",neutral,positive,1
"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o",neutral,positive,1
"A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today .",neutral,positive,1
"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",positive,neutral,0
Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.,positive,neutral,0
Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,positive,neutral,0
"Under the terms of the agreement , Bunge will acquire Raisio 's Keiju , Makuisa and Pyszny Duet brands and manufacturing plants in Finland and Poland .",neutral,positive,1
The ISO certification demonstrates that we are moving forward in our quality commitments to our customers . ',positive,neutral,0
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",negative,neutral,0
Infection worries prompt regulatory reviews of Gilead leukaemia drug $GILD https://t.co/H9vqXpZ15G via @YahooFinance,negative,neutral,0
"Significance : Teleste has emphasised that with its large size and growing economy , as well as the rapid development of its TV services distribution industry , Poland is viewed as an attractive market .",positive,neutral,0
"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",negative,positive,1
"BHP Billiton posts big loss, slashes dividend",negative,neutral,0
Device volume in the area decreased by 21 % to 2.7 mn units .,neutral,negative,-1
$TRX http://stks.co/1KkK Long setup. MACD cross.,positive,neutral,0
The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,positive,neutral,0
$SPY  still wants higher I think.,positive,neutral,0
"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .",negative,neutral,0
These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 .,positive,neutral,0
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,positive,neutral,0
$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,negative,positive,1
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,neutral,0
"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .",negative,neutral,0
"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",positive,neutral,0
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,negative,neutral,0
Glencore slumps 25 pct as debt fears grow,negative,neutral,0
Standard Chartered Not Raising Capital Yet As Dividend Cut,negative,neutral,0
$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,positive,neutral,0
The air traffic of Finland has been in stoppage since then .,negative,neutral,0
55 workers in +àm+Ñl will be affected by the close-down .,negative,neutral,0
"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV",negative,neutral,0
Insight hires Aviva's David Hillier for multi-asset team,positive,neutral,0
The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa .,neutral,positive,1
"It grew in Finland , Norway , Denmark and the Baltic countries .",neutral,positive,1
Today I bought more $MU $YHOO $VALE $NBL $TWTR $AXP $ZNGA https://t.co/Vt6T5Zp2is,positive,neutral,0
Vaisala 's board of directors will propose a dividend of 0.85 euro $ 1.24 per share at the company 's annual general meeting .,neutral,positive,1
"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.",positive,neutral,0
"The report also said Nokia 's operations comprising the sites at Bochum , Ulm , Dusseldorf , Munich and Frankfurt posted operating profit after interest of 246 mln eur .",neutral,positive,1
Copper market may get a 2003-style supply shock from Glencore closures,negative,neutral,0
Scanfil holdings include 100 % of contract electronics manufacturer Scanfil EMS Group .,neutral,positive,1
"Finnish metal components supplier Componenta on December 26 , 2006 applied for approval with the Turkish Capital Markets Board to launch a mandatory offer for the remaining shares in iron and aluminium castings producer Doktas Dokumculuk .",neutral,positive,1
"Biohit and VWR have been in close cooperation for a number of years in the US , where Biohit is one of VWR 's focus suppliers .",positive,neutral,0
Finnlines said that the deal is part of its strategy to focus on its core businesses .,neutral,positive,1
$SPY Long 1/2 position 137.89,positive,neutral,0
$FB still a dog going much lower this week,negative,neutral,0
"In Finland , OP-Pohjola 's staff union is boycotting the group 's insurance sales tasks because the company has refused to take the sale of insurance into account in determining wages .",negative,neutral,0
"In the Baltic countries , Atria 's target is organic growth .",neutral,positive,1
The Group 's revenue in 2008 amounted to EUR 94 million and the company currently employs approximately 730 people .,neutral,positive,1
The board of directors also proposed that a dividend of EUR0 .20 per outstanding share be paid .,neutral,positive,1
$EA points to the two Facebook games and accuses $ZNGA of copyright infringement. http://stks.co/g3A1,negative,neutral,0
"In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 .",negative,neutral,0
"According to latest information , Benefon will launch its Twig device on 20 September 2006 .",neutral,positive,1
"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again .",positive,neutral,0
"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .",neutral,negative,-1
"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008 .",neutral,positive,1
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,negative,positive,1
"Comptel Corporation Sami Ervio President and CEO , Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .",neutral,negative,-1
$NKE gapping up to all time highs http://stks.co/q1jAu #tradeideas http://stks.co/r1j6c,positive,neutral,0
"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",negative,positive,1
"SRV will raise its holding in the company so that by the summer of 2008 , it will have a majority .",positive,neutral,0
The new B shares carry the right to dividend and other shareholder rights with effect from today .,neutral,positive,2
"Rautakesko 's business operations in Norway and Russia , acquired in July 2005 , are included in the figures of the comparable period , impacting sales growth starting from August .",neutral,positive,1
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,neutral,0
"The OMX Helsinki index was 0.33 pct lower at 9,364.80 , while the OMX Helsinki CAP portfolio index was down 0.34 pct at 5,029.25 .",negative,neutral,0
"In the fourth quarter of 2009 , Atria 's net loss shrank to EUR 1.2 million from EUR 5.9 million and net sales contracted to EUR 340.4 million from EUR 361.1 million .",positive,negative,-1
"However , Simdax will remain available in the markets where it already has been approved as it has marketing authorisations or submitted applications in more than 40 countries , Orion added .",positive,neutral,0
$TSPT  long 8.00,positive,neutral,0
The company said it observed a current stabilisation in prices and there is potential for higher prices for deliveries in the first quarter of 2011 .,positive,neutral,0
Ruukki Group calculates that it has lost EUR 4mn in the failed project .,neutral,negative,-2
$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,positive,neutral,0
SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) .,positive,neutral,0
"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",neutral,positive,1
"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 .",neutral,positive,1
"`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''",neutral,positive,1
"Nokia OYJ 's production site at Bochum , Germany , posted profit before interest of 134 mln eur for 2007 , Capital reported in an excerpt of an article to be released tomorrow , citing internal documents .",neutral,positive,1
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",negative,neutral,0
The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million .,neutral,positive,1
$WYNN big bounce,positive,neutral,0
"Royal Mail, Johnson Matthey lead FTSE lower",negative,neutral,0
Morrisons faces festive sales test,negative,neutral,0
"Dirk Jones , head of Financial Institutions Client Sales Management , GTS , Citigroup , Inc , said , ` Citi is extremely pleased to be providing global custody services to Pohjola Group Bank .",positive,neutral,0
20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,positive,negative,-1
$TWTR The best scenario going forward is this stock slowly falling everyday....Which is quite probable...,negative,neutral,0
$FB watching for bounce tomorrow,positive,neutral,0
Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards .,neutral,negative,-1
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",neutral,positive,1
Windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #Microsoft $msft,negative,positive,1
"Finnish forest machinery and equipment maker Ponsse Oyj said on October 5 , 2007 it will deliver a total of 67 cut-to-length method forest machines and 44 harvester heads to Brazilian paper maker Bahia Pulp and to unnamed Uruguayan wood harvesting contractors .",positive,negative,-1
"Finnish software company QPR Software Plc ( OMX Helsinki : QPR1V ) reported on Thursday ( 23 October ) an operating profit of EUR63 ,000 on net sales of EUR1 .5 m for the third quarter 2008 .",neutral,positive,1
"$ZSL looking very weak, could be a good short setup.",negative,neutral,0
"The RME from Telcontar enables the handset to calculate the best route and includes support for user-defined routes , feature navigability and multi-modal routing such as via foot and ferry .",neutral,positive,1
Calls to the switchboard and directory services have decreased significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,neutral,negative,-1
It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,positive,neutral,0
"Janno Reiljan , a member of the Eesti Energia supervisory board , said the owners of Narva Power Grid had informed Eesti Energia about their wish to sell .",neutral,negative,-1
"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''",neutral,negative,-1
"Below are consolidated , unaudited results for Amanda Capital under IFRS reporting standards .",neutral,negative,-1
"Tornio Works employs 2,300 of whom more than 1,800 have been in the scope of the fixed-period or part-time temporary layoffs in April-October period .",neutral,negative,-1
The result before taxes was a loss of 25.0 million euros .,neutral,negative,-1
BHP Billiton drags FTSE lower after slashing dividend,negative,positive,1
"Following the acquisition , Relacom will strengthen its presence in Finland , serving operators and office market with mobile and fixed networks construction , installation and maintenance services .",positive,neutral,0
Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .,positive,neutral,0
"Ahlstrom Corporation Anne Pirila Director , Financial communications Distribution : Helsinki Stock Exchange Main media Ahlstrom in brief Ahlstrom is a leader in the development , manufacture and marketing of high performance fiber-based materials .",neutral,positive,1
"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable .",positive,neutral,0
"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros .",neutral,positive,1
$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,negative,positive,1
"Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur .",neutral,positive,1
@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,negative,neutral,0
"Finnish Neste Oil that was previously on the list , has fallen off the list completely .",neutral,negative,-1
@CH_Roark: $UNXL I like this Ascending Triangle on the 30-minute chart. Breakout coming Monday! http://stks.co/aT3GLooks promising.,positive,neutral,0
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",negative,positive,1
"`` We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE , '' said Juergen Walter , Head of Converged Core , Nokia Siemens Networks .",positive,neutral,0
"When this information was released on 5 September 2008 , Nokia 's American Depositary shares fell by 8 % .",neutral,negative,-1
The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .,neutral,positive,1
"Rory Fitzgerald , general manager , operations , Bristol Port , said : `` With the use of low maintenance technology we can save up to 30 per cent on servicing , plus the load sensing hydraulics can save us an extra 15 to 30 per cent on fuel consumption . ''",positive,neutral,0
Kingfisher takeover of Mr Bricolage could hit a brick wall,negative,neutral,0
"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond",negative,neutral,0
"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",neutral,positive,1
Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties .,neutral,positive,1
The deal is subject to approval by the Norwegian competition authorities .,neutral,positive,1
"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .",neutral,negative,-1
The solutions will be used for upgrading the networks of a Russian MSO in 37 different cities in Russia .,positive,neutral,0
Glencore blames rivals for creating metals glut,negative,neutral,0
The company will also be compensated for acting as a reserve batch plant .,positive,neutral,0
@asdfLLC. Nice pop today. Told ya we would be green haha. Funny you bring that up. I'm actually working on a story about $NOK at the moment,positive,neutral,0
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",negative,neutral,0
$INO back in this am small post,positive,neutral,0
"`` P&O Ferries now has a very efficient and powerful vessel for its Dover to Calais route , '' head of the shipbuilder 's Rauma yard , Timo Suistio , said .",positive,neutral,0
"$pcln back over ""up"" trendline from 10/4",positive,neutral,0
"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .",negative,neutral,0
New Credit Suisse boss faces stiff challenge in Asia,negative,positive,1
"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn .",neutral,positive,1
"Thanksto improvements in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''",positive,neutral,0
"For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece .",neutral,positive,2
FDA approves Shire's Vyvanse for binge-eating disorder,positive,neutral,0
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,positive,neutral,0
Long $X 24.62,positive,neutral,0
Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .,negative,neutral,0
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",negative,neutral,0
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",positive,neutral,0
"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg",positive,neutral,0
"Operating income was EUR -24.9 mn , including EUR 15.3 mn of restructuring expenses .",neutral,negative,-1
Buffett's Company Reports 37 Percent Drop in 2Q Earnings,negative,neutral,0
Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,positive,neutral,0
"Operating profit totaled EUR 9.4 mn , down from EUR 11.7 mn in 2004 .",neutral,positive,1
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",negative,positive,1
$CAMT Looks like might break down. I'm out,negative,neutral,0
Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007 .,neutral,negative,-1
"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors .",negative,neutral,0
"Yesterday , Legrand issued its E300 million fixed rate deal maturing 2017 .",neutral,positive,1
"By 14:29 CET on Monday , shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month .",positive,negative,-1
Repeats sees 2008 EBITA above 18 pct of sales .,positive,neutral,0
The construction project is scheduled to start in the second quarter of 2009 and the new building is scheduled to be in place by the end of 2010 .,neutral,positive,1
The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros .,neutral,positive,1
The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 .,neutral,positive,1
"`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''",negative,positive,1
"`` We are delighted to announce our support for Intel based handheld platforms , the capabilities of which have made our development easier and faster .",positive,neutral,0
Out of shorts $ALTR at 38.85 with loss,positive,negative,-1
"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 .",negative,positive,1
"Earnings per share EPS amounted to EUR0 .03 , up from the loss of EUR0 .08 .",positive,neutral,0
"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .",negative,neutral,0
$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :),negative,positive,1
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,positive,negative,-1
"Empresa de Desarrollo Urbano de Quito , INNOVAR-UIO , Ecuador has commissioned Poyry to prepare a feasibility study for a new urban rapid mass transit system .",neutral,positive,1
"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",positive,neutral,0
ouch looks like $tsla shorts getting skinned again,positive,neutral,0
$PG Ackman making the big added efficiency argument. betting on operational imporvement in a huge conglomerate can go either way imo.,positive,neutral,0
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",negative,neutral,0
Tata Steel working with StanChart for UK unit sale - source,positive,neutral,0
AstraZeneca sells US drug rights to Perrigo for $380 mln,positive,neutral,0
Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,negative,positive,1
$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x,negative,neutral,0
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,neutral,positive,1
"Daily Mail owner considering Yahoo bid $yhoo ,up 2,05% https://t.co/extZr1riyP",positive,neutral,0
"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .",positive,neutral,0
UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,positive,neutral,0
SABMiller revenue hit by weaker EM currencies,negative,neutral,0
"Ackman, in email, says supports Valeant CEO Pearson",positive,neutral,0
Aldata said that there are still a number of operational aspects to be defined between it and Microsoft and further details of the product and market initiatives resulting from this agreement will be available at a later date .,neutral,positive,1
"Nokia shares hit 13.21 euros on Friday , down 50 percent from the start of the year in part because of the slow introduction of touch-screen models .",negative,neutral,0
"The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April .",neutral,positive,1
Solidium picked up Tikkurila shares as a dividend at a book value of EUR15 .80 per share .,neutral,positive,1
"Quarterly diluted EPS on continuing operations came in at 0.21 eur , compared with last year 's 0.12 eur .",positive,neutral,0
@1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP,negative,neutral,0
Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 .,neutral,negative,-1
Tesco leads FTSE higher on Clubcard bid reports,positive,neutral,0
Finnair was able to operate most of its leisure flights despite the strike .,positive,neutral,0
"TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said .",negative,neutral,0
"Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today it will temporarily lay off up to 200 people for a maximum of 90 day in Finland , aiming to achieve cost savings of EUR 1.7 million USD 2m in the second half of 2010 .",negative,neutral,0
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,negative,neutral,0
"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .",negative,positive,1
"The Group 's revenue amounts to over EUR 80 million , about half of which is accounted for by exports .",neutral,positive,1
"LKAB , headquartered in Lulea , Sweden , is a high-tech mining company producing upgraded iron ore products for the steel industry .",neutral,positive,2
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million .,negative,positive,1
"As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi .",neutral,positive,1
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,negative,neutral,0
Net profit in the same period in 2006 was 36.6 million euros .,neutral,positive,1
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,negative,neutral,0
The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 .,neutral,positive,1
"A downloadable instruction sheet , instructional video , and project ideas for the award-winning Everywhere Punch TM Window System can be found at www.fiskars.com .",neutral,positive,1
The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management .,positive,neutral,0
Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .,neutral,negative,-1
The negotiations will concern the plant 's department producing winded roving that employs 10 people .,neutral,negative,-1
"@Binkster69 Not that. it's just ER's lol. But looking at the correlation of $ARIA and foreign price charts, they are all poised to breakout.",positive,neutral,0
"As part of its new strategy , Finnish Biohit is planning to incorporate its diagnostics business into a separate limited company .",neutral,positive,1
"Juha Jordan , chief engineer at Glaston , said one of the reasons for choosing Vacon as a global AC drives supplier is that it has service and support centres in the same countries where Glaston operates .",positive,neutral,0
Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .,negative,neutral,0
$DCTH Near HOD,positive,neutral,0
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,negative,neutral,0
Incap Furniture is presently negotiating staff cuts .,neutral,negative,-1
The acquisition is expected to improve access to chrome ore resources in Turkey .,positive,neutral,0
"When this investment is in place , Atria plans to expand into the Moscow market .",neutral,positive,1
"The respondents praised Finnair 's reliability , Finnishness , and understanding of its target group .",positive,neutral,0
Satama earned Data Management Solutions competency with Business Intelligence specialization recentlyvia the acquisition of Fimentor Oy .,positive,neutral,0
$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,neutral,positive,1
"Aspocomp said it will spin off its Chinese and Indian units , and some equipment from its Salo plant in Finland , into a newly-formed unit , most of which it will then sell on to Hong Kong-listed Meadville .",neutral,negative,-1
"For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 .",positive,negative,-1
"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,positive,1
"@louiebeene vwap is 1.63, held the trend line. Should be on a LOT of radars. $NAVB",positive,neutral,0
ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,positive,neutral,0
